2022-07-29 11:11:34,052 -Test worker  INFO Version - WELD-000900: 3.1.8 (Final)
2022-07-29 11:11:34,701 -Test worker  INFO Bootstrap - WELD-000101: Transactional services not available. Injection of @Inject UserTransaction not available. Transactional observers will be invoked synchronously.
2022-07-29 11:11:35,032 -Test worker  INFO Event - WELD-000411: Observer method [BackedAnnotatedMethod] public org.glassfish.jersey.ext.cdi1x.internal.ProcessAllAnnotatedTypes.processAnnotatedType(@Observes ProcessAnnotatedType<?>, BeanManager) receives events for all annotated types. Consider restricting events using @WithAnnotations or a generic type with bounds.
2022-07-29 11:11:35,083 -Test worker  INFO Event - WELD-000411: Observer method [BackedAnnotatedMethod] private org.glassfish.jersey.ext.cdi1x.inject.internal.InjectExtension.processAnnotatedType(@Observes ProcessAnnotatedType<?>, BeanManager) receives events for all annotated types. Consider restricting events using @WithAnnotations or a generic type with bounds.
2022-07-29 11:11:36,332 -Test worker  INFO Bootstrap - WELD-ENV-002003: Weld SE container fd52e236-1c71-4894-818f-5f00d7b15eef initialized
2022-07-29 11:11:39,046 -Test worker  INFO Version - HV000001: Hibernate Validator 6.2.0.Final
2022-07-29 11:11:43,029 -Test worker  WARN NativeCodeLoader - Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2022-07-29 11:11:55,274 -Test worker  INFO Bootstrap - WELD-ENV-002001: Weld SE container fd52e236-1c71-4894-818f-5f00d7b15eef shut down
2022-07-29 11:11:55,419 -Test worker  INFO Bootstrap - WELD-000101: Transactional services not available. Injection of @Inject UserTransaction not available. Transactional observers will be invoked synchronously.
2022-07-29 11:11:55,481 -Test worker  INFO Event - WELD-000411: Observer method [BackedAnnotatedMethod] private org.glassfish.jersey.ext.cdi1x.inject.internal.InjectExtension.processAnnotatedType(@Observes ProcessAnnotatedType<?>, BeanManager) receives events for all annotated types. Consider restricting events using @WithAnnotations or a generic type with bounds.
2022-07-29 11:11:55,538 -Test worker  INFO Event - WELD-000411: Observer method [BackedAnnotatedMethod] public org.glassfish.jersey.ext.cdi1x.internal.ProcessAllAnnotatedTypes.processAnnotatedType(@Observes ProcessAnnotatedType<?>, BeanManager) receives events for all annotated types. Consider restricting events using @WithAnnotations or a generic type with bounds.
2022-07-29 11:11:55,958 -Test worker  INFO Bootstrap - WELD-ENV-002003: Weld SE container adf641d7-80cd-467c-8cb1-e3d6e19f23fe initialized
2022-07-29 11:11:57,865 -Test worker  INFO Bootstrap - WELD-ENV-002001: Weld SE container adf641d7-80cd-467c-8cb1-e3d6e19f23fe shut down
2022-07-29 11:11:57,934 -Test worker  INFO Bootstrap - WELD-000101: Transactional services not available. Injection of @Inject UserTransaction not available. Transactional observers will be invoked synchronously.
2022-07-29 11:11:57,958 -Test worker  INFO Event - WELD-000411: Observer method [BackedAnnotatedMethod] public org.glassfish.jersey.ext.cdi1x.internal.ProcessAllAnnotatedTypes.processAnnotatedType(@Observes ProcessAnnotatedType<?>, BeanManager) receives events for all annotated types. Consider restricting events using @WithAnnotations or a generic type with bounds.
2022-07-29 11:11:57,966 -Test worker  INFO Event - WELD-000411: Observer method [BackedAnnotatedMethod] private org.glassfish.jersey.ext.cdi1x.inject.internal.InjectExtension.processAnnotatedType(@Observes ProcessAnnotatedType<?>, BeanManager) receives events for all annotated types. Consider restricting events using @WithAnnotations or a generic type with bounds.
2022-07-29 11:11:58,218 -Test worker  INFO Bootstrap - WELD-ENV-002003: Weld SE container 8e077a85-a397-4931-b78c-21a0bd546a27 initialized
2022-07-29 11:12:00,927 -Test worker  INFO Bootstrap - WELD-ENV-002001: Weld SE container 8e077a85-a397-4931-b78c-21a0bd546a27 shut down
2022-07-29 11:12:01,012 -Test worker  INFO Bootstrap - WELD-000101: Transactional services not available. Injection of @Inject UserTransaction not available. Transactional observers will be invoked synchronously.
2022-07-29 11:12:01,033 -Test worker  INFO Event - WELD-000411: Observer method [BackedAnnotatedMethod] public org.glassfish.jersey.ext.cdi1x.internal.ProcessAllAnnotatedTypes.processAnnotatedType(@Observes ProcessAnnotatedType<?>, BeanManager) receives events for all annotated types. Consider restricting events using @WithAnnotations or a generic type with bounds.
2022-07-29 11:12:01,045 -Test worker  INFO Event - WELD-000411: Observer method [BackedAnnotatedMethod] private org.glassfish.jersey.ext.cdi1x.inject.internal.InjectExtension.processAnnotatedType(@Observes ProcessAnnotatedType<?>, BeanManager) receives events for all annotated types. Consider restricting events using @WithAnnotations or a generic type with bounds.
2022-07-29 11:12:01,343 -Test worker  INFO Bootstrap - WELD-ENV-002003: Weld SE container 9567c3a7-73df-4c4d-8330-105bbef1083e initialized
2022-07-29 11:12:07,436 -Test worker  INFO Bootstrap - WELD-ENV-002001: Weld SE container 9567c3a7-73df-4c4d-8330-105bbef1083e shut down
